*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=fichinaMKI
*Date=16:15:21
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;37.0651;-63.6689;0;Bottom;TXT13
2;;;50.9016;-39.1609;0;Bottom;Copper Fill25
3;;;68.5683;-54.5816;0;Bottom;Jumper12
4;;;48.3541;-20.9124;0;Bottom;TXT12
5;;THT;107.48;-58.2899;0;Bottom;J1
6;;;104.868;-54.7295;180;Bottom;TXT4
7;;tactile-pth-12mm;28.9779;-40.793;-135;Bottom;UP
8;;;84.9249;-37.3321;0;Bottom;Copper Fill43
9;;;109.314;-28.8448;0;Bottom;Jumper11
10;;tactile-pth-12mm;16.9779;-28.7929;-135;Bottom;LEFT
11;;;56.007;-4.21057;0;Bottom;IMG5
12;;;103.987;-39.4079;180;Bottom;TXT4
13;;;62.0661;-47.2822;180;Bottom;TXT4
14;;;84.9961;-41.4036;0;Bottom;Jumper10
15;;;134.432;-45.8891;0;Bottom;TXT12
16;;;40.1066;-69.6917;0;Bottom;Copper Fill6
17;;;136.79;-7.44469;0;Bottom;Hole1
18;;;65.2679;-64.8587;180;Bottom;TXT4
19;;;104.901;-57.2348;180;Bottom;TXT4
20;;;111.187;-60.4419;-90;Bottom;TXT6
21;;;109.322;-61.9955;0;Bottom;Copper Fill11
22;;;62.1315;-43.0181;180;Bottom;TXT4
23;;3 mm [THT];69.2858;-20.5663;180;Bottom;LED
24;;;62.7372;-49.5053;180;Bottom;TXT4
25;;;113.691;-54.2445;0;Bottom;Jumper16
26;;;74.9276;-74.4804;0;Bottom;TXT18
27;;;68.8086;-45.1553;0;Bottom;Copper Fill20
28;;;104.883;-59.8154;180;Bottom;TXT4
29;;rca_lock;36.7923;-70.4074;90;Bottom;AUDIO
30;;;72.2376;-64.1164;0;Bottom;Copper Fill51
31;100nF;200 mil [THT, multilayer];85.1378;-63.101;-1.27222e-14;Bottom;0.1uF
32;;;30.353;-71.4697;0;Bottom;Copper Fill3
33;;;62.8464;-32.8045;180;Bottom;TXT4
34;;;43.9928;-74.1113;0;Bottom;Copper Fill1
35;;;74.8538;-42.2343;0;Bottom;Copper Fill27
36;;;5.0546;-50.2988;0;Bottom;Copper Fill53
37;;;105.791;-70.4445;0;Bottom;Jumper14
38;;;106.147;-41.8152;0;Bottom;Copper Fill45
39;;;41.7068;-38.9831;0;Bottom;Copper Fill40
40;;;78.74;-64.1164;0;Bottom;Copper Fill57
41;;THT;59.2199;-55.7499;0;Bottom;J3
42;10k;THT;55.7906;-31.6922;90;Bottom;R10
43;;;85.1916;-30.7027;0;Bottom;Copper Fill29
44;;;115.138;-52.9277;0;Bottom;Copper Fill16
45;;;63.3383;-27.9037;180;Bottom;TXT4
46;;;69.1134;-64.4085;0;Bottom;Copper Fill12
47;;;63.4608;-35.4622;180;Bottom;TXT4
48;;;34.6964;-69.3361;0;Bottom;Copper Fill9
49;;;96.5672;-30.4441;0;Bottom;Jumper2
50;47µF;100 mil [THT, electrolytic];92.0731;-6.60262;90;Bottom;100uF
51;;;30.5562;-59.0999;0;Bottom;Copper Fill13
52;;tactile-pth-12mm;41.5779;-28.393;-135;Bottom;RIGHT
53;;THT;8.9212;-55.0695;-90;Bottom;R6
54;;;6.3373;-51.5815;0;Bottom;Copper Fill52
55;;;51.054;-48.5335;0;Bottom;Copper Fill19
